id,title,userID,length,total_activities
125,Rainforests Stage 3,1284,11,11
126,ΕΡΓΑΣΙΑ 2,3787,6,12
127,Η ΦΥΣΙΚΗ ΑΓΩΓΗ ΣΤΗΝ ΑΡΧΑΙΑ ΕΛΛΑΔΑ,1061,8,11
128,Sistema Circulatorio Entrega Final,14838,18,20
129,Δημιουργία ταινίας,7,11,11
130,Choosing a business idea,2213,4,15
131,ΤΕΛΙΚΗ ΕΡΓΑΣΙΑ ΠΑΠΠΑΣ ΦΩΤΙΟΣ,1654,6,6
132,Haiku,3132,4,4
133,Romeo and Juliet,1596,8,12
134,Test aχiologisis_sep_ nvarsos,1042,1,1
135,Ευρώπη_ΣΤ' Τάξη,1721,8,8
136,Recovery,5860,27,35
137,ΟΙ ΘΕΟΙ ΤΟΥ ΟΛΥΜΠΟΥ,1987,8,8
138,K0102 The Race,9,16,16
139,Λίστα_2η_έκδοση,525,18,27
140,ΔΙΔΩ ΣΩΤΗΡΙΟΥ-Ταξίδι χωρίς επιστροφή,1646,7,7
141,Ακολουθίες _Α_Λυκείου_Μπουρσινού,1615,4,4
142,LAMS TASK,7269,8,14
143,secuencia10,1,10,10
144,Am I ready for a successful career in Tourism and Hospitality - Versió definitiva,5468,20,25
145,Μάθημα Φωτοσύνθεση-Αντεστραμμένη τάξη (Flipped classromm),2085,10,10
146,Task2 LAMS Sequence,4963,9,9
147,elearning_ergasia2_triantou,3527,9,20
148,senarioarxaiatelikiergasia,1727,15,15
149,Τα βουνά της Ελλάδας ν2 - Χατζοπούλου,1742,3,3
150,MicroWorldsPro_3_νγωνο_κύκλος,3800,7,7
151,lams_teliko,1485,13,13
152,Εισαγωγή στον Αντικειμενοστρεφή Προγραμματισμό - Φακάρου -τελική,1728,11,15
153,ΤΕΛΙΚΗ ΕΡΓΑΣΙΑ ΤΑΝΤΖΟΠΟΥΛΟΥ ΣΟΦΙΑ ΤΡΟΠΟΠΟΙΗΜΕΝΗ,1476,7,7
154,test,1460,4,4
155,Ports of PC,13,3,3
156,Leaves,3154,13,13
157,diafimisi,9,30,31
158,Food Chain- John Duncan,4767,8,8
159,LDSE POE template,22,19,19
160,LAMS Lesson Plan - Task 2 - Draft,5375,16,20
161,διαφοροποιημένη άσκηση MicroWorldsPro,1067,4,6
162,Recycling-Χριστίνα Σταυράκη,1689,6,6
163,Ergasia 8 video_Valkanikoi Polemoi_Asimakopoulou,4364,5,5
164,Τα χαρακτηριστικά του πληθυσμού της Ευρώπης,1660,10,12
165,Πώς να κάνετε μια παρουσίαση στο powerpoint,1,9,11
166,glwssikos_daneismos_koufou,4421,8,12
167,Inside PC,13,3,3
168,Citizenship_29012014_1,1582,12,16
169,GMF-role-play,10,8,18
170,ΑΘΗΝΑ ΚΑΙ ΑΤΛΑΝΤΙΔΑ ( ATHENS AND  ATLANTIS ),4371,12,15
171,Αξιολόγηση στο Υλικό Υπολογιστή,1060,2,2
172,my lams final copy1,5524,7,7
173,Natural Disasters,5404,9,22
174,Πάσα με Δάκτυλα,4417,10,10
175,English - Billy Elliot,6197,8,8
176,Παραγοντοποίηση_Πλώτα,62,15,15
177,What is a rainforest,2164,1,1
178,Adverbs of frequency,45,8,24
179,Maths lesson - number patterns,3075,14,16
180,Η Ευρωπαϊκή Ένωση και οι σχέσεις των κρατών της,1528,9,11
181,Reading Comprehension Stage 1 41830806,3084,17,19
182,Chat Demo,64,2,4
183,investment sequence,589,10,10
184,ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ,1565,9,11
185,IWBs,182,6,9
186,ctz-mk,1549,13,17
187,Individual Assignment LAMS Sequence,5397,8,20
188,LAMS sequence assgment,1301,12,14
189,4. Δημιουργία κατηγοριών στο Joomla! 2.5,8,4,4
190,Lams assignment sequence 3 ,7526,8,8
191,YDROGONANURAKES,4366,8,10
192,Excel-formula,88,16,20
193,S.ELDERTON LAMS ASSESSMENT,5474,18,18
194,Pericles LAMS Sequence,5926,8,10
195,Το αναπνευστικό σύστημα - Γούναρης,1478,10,10
196,DAILY LIFE,1466,6,6
197,sir edmund barton,3081,8,10
198,Alice's adventures in Wonderland,3191,13,13
199,Instructionist Local Template,2811,5,5
200,K0306 Food for Thought,9,13,13
201,EDUC261 LAMS,7289,9,9
202,Emma Higgs History yr 9,1712,8,8
203,EDUC261 Task 2 LAMS Lesson Alexander Mitchell ,5782,12,13
204,EDUC261- Safe Living- 42880092 ,5344,9,9
205,Ergonomics_High_School_A_Class_En_v1,10,14,14
206,history ,7250,12,15
207,Συμφωνική Ορχήστρα,1627,11,11
208,relieve_peninsula_iberica,49,9,9
209,Εφαρμογές Πολυμέσων,1487,4,4
210,Efarmoges_pliroforikis_Kef9_Internet_v1,1591,12,15
211,LAMS SeqFinal,5781,9,9
212,The Weather,1466,6,8
213,Bulllying LAMS 261,6196,13,22
214,LAMS sequence English,7121,13,15
215,kanonika polygona,1450,10,10
216,ΦΔ9_TALANTZI,3929,8,8
217,Scratch!,5095,12,16
218,dia-de-los-muertos sequence ready! ,1087,12,21
219,Days of significance in Australia,7493,5,14
220,Τα βουνά της Ελλάδας ν2-Καραποναρλίδου Μαρία,1516,3,3
221,Project Fairytale,4968,11,24
222,pe assignment,5939,13,13
223,Υπολογιστικά φύλλα stop,3800,13,13
224,Misconceptions about the types of software_template_new,8137,8,8
225,Land Degradation LAMS community,2174,30,35
226,Lams sequence- Geography - Urban Places- World and Mega Cities,3200,17,17
227,Scratch Lesson 4,55,4,4
228,Deigmatiki,4,8,8
229,Ergasia 9 _ Marathonas _ Barla,4371,14,14
230,TA BOYNA THΣ ΕΛΛΑΔΑΣ,1553,3,3
231,web-Dilemma-Antartica,4550,11,13
232,Mediterranean Sea GR v2,1587,11,12
233,Απόκριες στην Ελλάδα,1495,4,4
234,ηλιοπροστασία,1498,12,12
235,Global Warming,5517,14,14
236,μάθημα 6ο,1735,6,7
237,Καρδιά-τροποποιημένο,1569,11,11
238,Excel-format-print,88,11,11
239,Prepositions - Tigka,1708,9,9
240,citizenship_pennya,1440,7,7
241,Ηλεκτρικό ρεύμα - Μπεζαΐτη Βασιλική,1621,4,4
242,Understanding Film Techniques in RJ,3201,11,11
243,SYNTHESI ATMOSFAIRAS PSAROPOYLOS TELIKH,1747,14,14
244,workshop_WK3_TOliver_14.03.2012,4753,10,13
245,Προστασία Λογισμικού - Ιοί  v1.1,4363,6,9
246,Ηλώσεις,1434,5,5
247,Ζ-ΘΕ-ΑΕΠΠ-ΕΜΦΩΛΕΥΜΕΝΗ ΕΠΙΛΟΓΗ,81,3,5
248,Multimedia_Picture_Graphics,7280,14,14
249,AuspoliticsLam,5408,7,9
250,POE-Hammer and Feather,5,7,7
251,POE - Generic Template,10,7,7
252,Τα βουνά της Ελλάδαςν2_Σοφία Αργυροπούλου,1436,3,3
253,ΕφΠληΑΛυκ_Κεφ6_v.02,1,9,17
254,ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ,1024,8,10
255,Ταξίδι στις χώρες της Αφρικής,1464,6,6
256,Bullying,5869,4,13
257,Δημιουργία ταινίας,1975,12,12
258,ΤΑΛΑΝΤΩΣΕΙΣ,347,9,9
259,Τα ποτάμια της Ελλάδας,1624,4,4
260,Κίνδυνοι στο facebook,1599,9,9
261,1.1. Hardware,16396,17,17
262,EDUC362 Assignment 2 ,5974,8,10
263,Αρχή του Pascal,4384,9,9
264,Stage 2 HSIE Cooperating Communities,1323,10,12
265,mcq _ gate test,8,3,3
266,Health Choices,7218,10,12
267,PBL - Why is the Sky Blue,10,10,10
268,grupo-todos,1,28,28
269,test epoxes,1049,2,2
270,Η ναυμαχία της Σαλαμίνας_τροποποιημένη,1704,5,5
271,python3,525,8,8
272,ASSIGNMENT 1 - LAMS SEQUENCE Kilisitina Vaitaiki,5142,26,30
273,Τα ζώα του δάσους ,1501,12,14
274,Simple Role Play-InteractiveWhiteboards_16072010_1,172,10,16
275,Lams Assignment 1 ,5535,6,6
276,test_istoria-valari,1442,3,3
277,Στερεά-v2,1420,22,24
278,H_dimokratia_Vlachos,1046,5,7
279,VALVERDE-MONICA,50,11,11
280,Grigorios Diamantis telikh ergasia,1489,9,9
281,Με τη ματιά των παιχνιδιών...,1518,4,6
282,TEST,1068,1,1
283,Ν.ΓΛΩΣΣΑ Γ΄ ΓΥΜΝ.ΚΕΦ. 3 ΡΑΤΣΙΣΜΟΣ (ΔΙΑΦΟΡΟΠΟΙΗΜΕΝΗ ΔΙΔΑΣΚΑΛΙΑ) ΣΤΑΜΑΤΙΑ ΜΑΡΙΕΤΤΗ,1077,6,10
284,1ο Μάθημα σε AppInventor,1728,4,4
285,ergasia_2_Paoyrhs Antonios,4449,5,5
286,Δομή επανάληψης Όσο - Κ Κατσαρός,4369,6,6
287,Μάθημα Κλιματική Αλλαγή v2 (ΠΕ04),11,13,13
288,greeklish_3_final,4421,10,12
289,LRCSupported_Final,9,15,15
290,Είδη Τριγώνων _Andresakis,1469,9,9
291,Preparing for your presentation,131,11,11
292,Η ΚΥΡΑ_ΣΑΡΑΚΟΣΤΗ_iraklis,1604,3,3
293,Element_ compounds_mixtures,3065,22,24
294,mastoraki_giannaki_eppaik2010a1_ergasia_kai_anergia,1090,14,55
295,Citizenship,1456,18,22
296,test,75,10,20
297,my first lesson ,15444,4,4
298,stibos_2_final_1,1,10,10
299,Σεισμική και ηφαιστειακή δράση,1735,4,4
300,Κλιματική αλλαγή,9,15,19
301,Εργασία_1_Πεφάνης_26122012_2,3796,7,7
302,ΕΜΕΙΣ ΚΑΙ ΟΙ ΑΛΛΟΙ,2578,9,9
303,K0304 The Powerboat,9,14,14
304,Ήπια καιρικά φαινόμενα,1977,19,21
305,Wiederholung_Schulsachen_Papadimitriou Soultana,1638,8,8
306,K0105 Detective Sophie,9,14,14
307,Ιστορία Τέχνης – 17ος αιώνας ,1392,17,17
308,To dig or not to dig,7252,11,21
309,Αξιολόγηση στο Υλικό Υπολογιστή,1522,4,4
310,Citizenship_29012014_1,1478,13,17
311,HTML Sequence,7318,17,19
312,Εκπαιδευτική Ρομποτική,1,12,12
313,Εργονομία,1593,9,9
314,Θ-ΘΕ-ΑΕΠΠ-ΕΠΑΝΑΛΗΨΗ-ΓΙΑ..ΜΈΧΡΙ-ΜΕΧΡΙΣ_ΟΤΟΥ,81,3,5
315,Πυκνότητα,1481,16,16
316,Year 6 (Stage 3) Mathematics,6508,9,13
317,Metanasteysi- kef.12,1560,8,10
318,Συμπίεση Εικόνας - JPEG ( Ψηφιακή Επεξεργασία Εικόνας ),7863,9,9
319,LAMS FINAL,5302,14,16
320,Geogebra,8,1,1
321,K0101 The Thunderbolt Kids,9,14,14
322,Τελική εργασία Π.Θ Μάρη,1586,7,7
323,Υπέροχος καιρός-Μαργαρίτη,1585,20,22
324,Τελική εργασία- Η έννοια και η λειτουργία της αγοράς - Α.Ο.Θ Γ΄Λυκείου - Ρούσσου Αναστασία,1671,12,12
325,Κειμενογράφος - Μορφοποίηση κειμένου (word processing) v 1.3,1696,7,7
326,K0307 Chemistry Man,9,14,14
327,Factual Descriptions for Stage 3,4961,8,19
328,Εργο- Κινητική Ενέργεια-Δυναμική Ενέργεια,1481,15,15
329,Καβάφης2,1444,7,7
330,prostasia_ypologiston_ioi,4357,8,14
331,LALI-274 CALL Lecture 1,9,15,17
332,Maths_Solomos,4359,9,12
333,LAMS assingment_02042009_1,1347,16,18
334,Lams Assessment 20084714 Elizabeth Kuriype,1598,9,13
335,ΖΩΑ  ΣΕ ΧΕΙΜΕΡΙΑ ΝΑΡΚΗ,1451,3,3
336,TELIKH-KONTOGIANNH-EFRAMOGES-PLHROFORIKHS,1534,8,8
337,basketball,9,33,33
338,English Class,7203,10,13
339,Απόκριες στην Ελλάδα,1549,5,5
340,project2,506,10,10
341,EDUC261 Lams,5948,10,14
342,Διά..λογοι στο μουσείο!,1585,10,10
343,Kef2_(2.4.2)Domi Epilogis,16378,8,8
344,Πληκτρολόγιο - Ποντίκι και Τυφλό Σύστημα,11,13,16
345,Βασικές Εργασίες με Μονοδιάστατους Πίνακες I  v3- Καραπάνος Κώστας,58,13,20
346,python2,525,8,8
347,quizQ5,335,3,3
348,Learning Design,9,14,16
349,Παράδειγμα Σύγχρονης Συζήτησης - Υποβολής Εργασίας,11,6,6
350,Pathogens,5958,13,13
351,Ασφάλεια στο Διαδίκτυο,1524,9,9
352,Ενσύρματα-Ασύρματα μέσα Μετάδοσης,3788,14,18
353,InExHardDisks-2_AgelosTitis,8,6,8
354,eidizoon,1460,9,9
355,pes632_ergasia01_kathod,7849,12,12
356,Template,8184,15,21
357,Learn-Lams (Epimorfosi B epipedou - Vasilis Drimtzias),6833,12,21
358,Αλληλόμορφα γονίδια_Παρασκευή Πούλου,72,16,18
359,THOM310 Sample,490,10,10
360,persuasivewritinglesson,5434,14,23
361,jigsaw,1,7,11
362,Λατινικά - Τροποποίηση ,1733,5,5
363,Gene Medicine_LAMS2011,1389,17,28
364,Past Perfect,1689,7,7
365,Ubuntu Lams Moodle,3787,3,3
366,Oceanography,1306,9,11
367,med ed portal-endometrium and cervix,211,5,5
368,Ρατσισμός -τελική εργασία- Παπαποστόλου Δανάη,1651,9,9
369,Metric_Relations_in_a_Right_Triangle,4373,6,8
370,Ergonomics-En_v4_A_Class_High_School,26,17,21
371,Διαδικτυακό Μουσείο,1975,26,26
372,K0207 The Volcano,9,14,14
373,ΣΕΠ Γ΄ΓΥΜΝΑΣΙΟΥ,1061,11,13
374,Δίκτυα Υπολογιστών (από 4.1 έως 4.4 Γυμνασίου),1696,4,4
375,Year 11 - Studies of Religion - Homosexuality,1599,10,12
376,ΤΕΣΤ ΑΓΩΓΗ 2,1424,3,3
377,ANGUERA-MOISES,50,13,13
