id,lessons_id,type,title,subsequences
0,0,TOOL_ACTIVITY_TYPE,Πάμε σινεμά,null
1,0,TOOL_ACTIVITY_TYPE,Η Γη συμπαγής ή όχι;,null
2,0,TOOL_ACTIVITY_TYPE,Πληροφορίες,null
3,0,TOOL_ACTIVITY_TYPE, διάσημος χάρτης,null
4,0,TOOL_ACTIVITY_TYPE,ηλεκτρονικό παζλ,null
5,0,TOOL_ACTIVITY_TYPE,Οι ήπειροι κινούνται;,null
6,0,TOOL_ACTIVITY_TYPE,Στιγμιότυπα της Γης,null
7,0,TOOL_ACTIVITY_TYPE,Η ταινιοθήκη της Γης,null
8,0,TOOL_ACTIVITY_TYPE,Τέλος μαθήματος,null
9,0,TOOL_ACTIVITY_TYPE,Κίνηση λιθοσφαιρικών,null
10,0,TOOL_ACTIVITY_TYPE,Αυτοαξιολόγηση,null
11,1,TOOL_ACTIVITY_TYPE,Ανακ. Πίνακας,null
12,1,TOOL_ACTIVITY_TYPE,Ερωτ. Πολ. Επ.,null
13,1,TOOL_ACTIVITY_TYPE,Ερωτ. & Απαντ.,null
14,2,TOOL_ACTIVITY_TYPE,Lesson Five,null
15,2,TOOL_ACTIVITY_TYPE,Mindmap,null
16,2,TOOL_ACTIVITY_TYPE,Bali Video,null
17,2,GROUPING_ACTIVITY_TYPE,Grouping,null
18,2,TOOL_ACTIVITY_TYPE,Q & A,null
19,2,TOOL_ACTIVITY_TYPE,"Lights, Camera, Action!",null
20,2,TOOL_ACTIVITY_TYPE,Reporter's Notebook,null
21,2,TOOL_ACTIVITY_TYPE,Reporting task,null
22,2,TOOL_ACTIVITY_TYPE,Noticeboard,null
23,3,TOOL_ACTIVITY_TYPE,Ανακ. Πίνακας,null
24,3,TOOL_ACTIVITY_TYPE,Ερωτ. Πολ. Επ.,null
25,3,TOOL_ACTIVITY_TYPE,Ερωτ. & Απαντ.,null
26,3,TOOL_ACTIVITY_TYPE,Νοητικός χάρτης,null
27,3,TOOL_ACTIVITY_TYPE,Χώρος Έκθ Εικόνων,null
28,3,TOOL_ACTIVITY_TYPE,Ανακ. Πίνακας,null
29,3,TOOL_ACTIVITY_TYPE,Υποβολή Αρχείου,null
30,3,TOOL_ACTIVITY_TYPE,Αξιολόγηση,null
31,4,TOOL_ACTIVITY_TYPE,Noticeboard,null
32,4,TOOL_ACTIVITY_TYPE,Noticeboard,null
33,4,TOOL_ACTIVITY_TYPE,Mindmap,null
34,4,TOOL_ACTIVITY_TYPE,Data Collection,null
35,4,TOOL_ACTIVITY_TYPE,Chat,null
36,4,TOOL_ACTIVITY_TYPE,Assessment,null
37,4,TOOL_ACTIVITY_TYPE,Task List,null
39,5,TOOL_ACTIVITY_TYPE,Αξιολόγηση,null
38,5,TOOL_ACTIVITY_TYPE,Εισαγωγή,null
40,6,TOOL_ACTIVITY_TYPE,Noticeboard,null
41,6,TOOL_ACTIVITY_TYPE,Share Resources,null
42,6,TOOL_ACTIVITY_TYPE,Forum,null
43,6,GROUPING_ACTIVITY_TYPE,grouping,null
44,6,TOOL_ACTIVITY_TYPE,LET'S TALK,null
45,6,PERMISSION_GATE_ACTIVITY_TYPE,WAIT FOR THE OTHERS TO FINISH,null
46,6,TOOL_ACTIVITY_TYPE,Share Resources,null
47,6,PERMISSION_GATE_ACTIVITY_TYPE,Gate,null
48,6,OPTIONS_ACTIVITY_TYPE,THE VIRTUAL FRIENDS,"{8, 9, 7}"
49,6,TOOL_ACTIVITY_TYPE,EMILIA CONSELLA,null
50,6,TOOL_ACTIVITY_TYPE,SAZZY FALAK,null
51,6,TOOL_ACTIVITY_TYPE,FIRHART FONSECCA,null
52,6,TOOL_ACTIVITY_TYPE,Submit Files,null
53,6,TOOL_ACTIVITY_TYPE,Noticeboard,null
54,6,TOOL_ACTIVITY_TYPE,Noticeboard,null
55,7,TOOL_ACTIVITY_TYPE,Εισαγωγή,null
56,7,TOOL_ACTIVITY_TYPE,Πληροφορίες εποχές,null
57,7,TOOL_ACTIVITY_TYPE,Χώρος Έκθ Εικόνων,null
58,7,TOOL_ACTIVITY_TYPE,Διαμοίρ. Πόρων,null
59,8,TOOL_ACTIVITY_TYPE,Welcome,null
60,8,TOOL_ACTIVITY_TYPE,Lessons Review,null
61,8,TOOL_ACTIVITY_TYPE,Finished,null
62,8,TOOL_ACTIVITY_TYPE,Chat- Q & A?,null
63,8,CHOSEN_BRANCHING_ACTIVITY_TYPE,Lesson 1-3 Review,"{12, 13, 14}"
65,8,TOOL_ACTIVITY_TYPE,Lesson 1,null
66,8,TOOL_ACTIVITY_TYPE,Lesson 2,null
67,8,TOOL_ACTIVITY_TYPE,Lesson 3,null
69,8,TOOL_ACTIVITY_TYPE,Content 1,null
70,8,TOOL_ACTIVITY_TYPE,Content 2,null
71,8,TOOL_ACTIVITY_TYPE,Content 3,null
72,8,TOOL_ACTIVITY_TYPE,Review 1,null
73,8,TOOL_ACTIVITY_TYPE,Review 2,null
74,8,TOOL_ACTIVITY_TYPE,Review 3,null
76,9,TOOL_ACTIVITY_TYPE,Ανακ. Πίνακας,null
77,9,TOOL_ACTIVITY_TYPE,Ερωτ. Πολ. Επ.,null
78,9,PERMISSION_GATE_ACTIVITY_TYPE,null,null
79,9,TOOL_ACTIVITY_TYPE,Ανακ. Πίνακας,null
80,9,GROUPING_ACTIVITY_TYPE,Ομαδοποίηση,null
81,10,TOOL_ACTIVITY_TYPE,Noticeboard,null
82,10,TOOL_ACTIVITY_TYPE,Share Resources,null
83,10,TOOL_ACTIVITY_TYPE,Q and A,null
84,10,TOOL_ACTIVITY_TYPE,Survey,null
85,10,TOOL_ACTIVITY_TYPE,Q and A,null
86,10,TOOL_ACTIVITY_TYPE,Survey,null
87,10,TOOL_ACTIVITY_TYPE,Share Resources,null
88,11,TOOL_ACTIVITY_TYPE,Εισαγωγή,null
89,11,TOOL_ACTIVITY_TYPE,Υλικό Μελέτης,null
90,11,TOOL_ACTIVITY_TYPE,Τι είναι αλγόριθμος,null
91,11,TOOL_ACTIVITY_TYPE,Μεταφρ. Προγραμ.,null
92,11,TOOL_ACTIVITY_TYPE,Αξιοποίηση Υπολογιστή,null
93,11,TOOL_ACTIVITY_TYPE,Σύνοψη,null
94,11,FLOATING_ACTIVITY_TYPE,Υλικό Μελέτης,null
95,11,TOOL_ACTIVITY_TYPE,Άσκηση 2,null
96,11,TOOL_ACTIVITY_TYPE,Προσδ. Αποτελέσμ.,null
97,11,TOOL_ACTIVITY_TYPE,Οι Πύργοι του Ανόϊ,null
98,11,TOOL_ACTIVITY_TYPE,Είδη Λαθών,null
99,11,TOOL_ACTIVITY_TYPE,Γλώσσες Προγραμ.,null
100,11,TOOL_ACTIVITY_TYPE,(Αυτο)Αξιολόγηση,null
101,11,TOOL_ACTIVITY_TYPE,Τεστ,null
102,12,TOOL_ACTIVITY_TYPE,Εισαγωγή,null
103,12,TOOL_ACTIVITY_TYPE,Κυκλοφ.σύστημα,null
104,12,TOOL_ACTIVITY_TYPE,Τι μάθαμε;,null
105,12,TOOL_ACTIVITY_TYPE,Τι γνωρίζω;,null
106,12,TOOL_ACTIVITY_TYPE,Ψηφοφορία,null
107,12,TOOL_ACTIVITY_TYPE,κυκλοφ. σύστημα,null
108,12,TOOL_ACTIVITY_TYPE,Τύποι αγγείων,null
109,12,TOOL_ACTIVITY_TYPE,Σκέψου και γράψε,null
110,12,TOOL_ACTIVITY_TYPE,Mέτρηση σφυγμού,null
111,12,TOOL_ACTIVITY_TYPE,Αίμα,null
112,12,TOOL_ACTIVITY_TYPE,Απαντήστε,null
113,13,TOOL_ACTIVITY_TYPE,Έναρξη,null
114,13,GROUPING_ACTIVITY_TYPE,Τριάδες,null
115,13,TOOL_ACTIVITY_TYPE,Συζήτηση σε ομάδες,null
116,13,TOOL_ACTIVITY_TYPE,Ερωτήσεις αυτοαξιολόγησης,null
117,13,TOOL_ACTIVITY_TYPE,Εμπειρία,null
119,14,GROUP_BRANCHING_ACTIVITY_TYPE,Διακλάδωση,"{24, 25, 23}"
121,14,TOOL_ACTIVITY_TYPE,Παράσταση,null
122,14,TOOL_ACTIVITY_TYPE,Συζήτηση(Forum),null
123,14,GROUPING_ACTIVITY_TYPE,Ρόλοι,null
118,14,TOOL_ACTIVITY_TYPE,Καλωσόρισμα,null
124,14,TOOL_ACTIVITY_TYPE,Υλικό Μελέτης,null
125,14,TOOL_ACTIVITY_TYPE,Ερωτ. & Απαντ.,null
126,14,GROUPING_ACTIVITY_TYPE,Ομάδες,null
127,14,TOOL_ACTIVITY_TYPE,Φύλλο Εργασίας,null
128,14,TOOL_ACTIVITY_TYPE,Σύνοψη,null
